Pagina,Id,Code,Omschrijving,Afkorting,Begin geldigheid,Gerelateerd
grasbetontegels,9,9,grasbetontegels,9,2020-11-25,
glas,8,8,glas,8,2020-11-25,
glad staal,7,7,glad staal,7,2020-11-25,
gietijzer,6,6,gietijzer,6,2020-11-25,
gewapend beton,5,5,gewapend beton,5,2020-11-25,
gegolfd plaatstaal,4,4,gegolfd plaatstaal,4,2020-11-25,
kleikern,33,33,kleikern,33,2020-11-25,
kleilaag,32,32,kleilaag,32,2020-11-25,
lokale bodemsoort,31,31,lokale bodemsoort,31,2020-11-25,
klei,30,30,klei,30,2020-11-25,klei
beton,3,3,beton,3,2020-11-25,beton
veen,29,29,veen,29,2020-11-25,veen
roestvrij staal,28,28,roestvrij staal,28,2020-11-25,
gres,27,27,gres,27,2020-11-25,gres
gips,26,26,gips,26,2020-11-25,
zand,25,25,zand,25,2020-11-25,zand
riet en/of biezen,24,24,riet en/of biezen,24,2020-11-25,
voorgespannen beton,23,23,voorgespannen beton,23,2020-11-25,
steen,22,22,steen,22,2020-11-25,steen
staal,21,21,staal,21,2020-11-25,
PVC,20,20,PVC,20,2020-11-25,
asbestcement,2,2,asbestcement,2,2020-11-25,asbestcement
puinsteen,19,19,puinsteen,19,2020-11-25,puin
plaatstaal,18,18,plaatstaal,18,2020-11-25,
metselwerk,17,17,metselwerk,17,2020-11-25,
lood,16,16,lood,16,2020-11-25,
kurk,15,15,kurk,15,2020-11-25,
kunststoffolie,14,14,kunststoffolie,14,2020-11-25,
kunststof,13,13,kunststof,13,2020-11-25,
koper,12,12,koper,12,2020-11-25,
ijzer,11,11,ijzer,11,2020-11-25,ijzer
hout,10,10,hout,10,2020-11-25,
aluminium,1,1,aluminium,1,2020-11-25,aluminium
